File ID,Path,Category,Feature/Journey,Layer,Key symbols,Contract/Storage,Tests,Status,Notes
F-0033,lib/features/auth/screens/mandatory_password_screen.dart,Feature,auth,UI Screen,lib/features/auth/screens/mandatory_password_screen.dart:9 class MandatoryPasswordScreen extends ConsumerStatefulWidget {,SecureStorage;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0034,lib/features/auth/screens/password_recovery_confirm_screen.dart,Feature,auth,UI Screen,lib/features/auth/screens/password_recovery_confirm_screen.dart:9 class PasswordRecoveryConfirmScreen extends StatefulWidget {,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0035,lib/features/auth/screens/password_reset_code_screen.dart,Feature,auth,UI Screen,lib/features/auth/screens/password_reset_code_screen.dart:10 class PasswordResetCodeScreen extends StatefulWidget {,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0036,lib/features/auth/screens/password_reset_sms_screen.dart,Feature,auth,UI Screen,lib/features/auth/screens/password_reset_sms_screen.dart:11 class PasswordResetSmsScreen extends StatefulWidget {,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0037,lib/features/auth/screens/password_set_screen.dart,Feature,auth,UI Screen,lib/features/auth/screens/password_set_screen.dart:8 class PasswordSetScreen extends StatefulWidget {,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0038,lib/features/auth/screens/reset_password_screen.dart,Feature,auth,UI Screen,lib/features/auth/screens/reset_password_screen.dart:7 class ResetPasswordScreen extends StatefulWidget {,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0039,lib/features/auth/widgets/blend_mask.dart,Feature,auth,UI Component,lib/features/auth/widgets/blend_mask.dart:4 class BlendMask extends SingleChildRenderObjectWidget {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0040,lib/features/auth/widgets/otp_dialog.dart,Feature,auth,UI Component,lib/features/auth/widgets/otp_dialog.dart:7 Future<bool> showOtpDialog(,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0041,lib/features/auth/widgets/ribbon_background.dart,Feature,auth,UI Component,lib/features/auth/widgets/ribbon_background.dart:5 class RibbonBackground extends StatelessWidget {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0042,lib/features/auth/widgets/session_auth_wrapper.dart,Feature,auth,UI Component,lib/features/auth/widgets/session_auth_wrapper.dart:21 class SessionAuthWrapper extends ConsumerStatefulWidget {,SecureStorage;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0043,lib/features/chat/controllers/chat_screen_controller.dart,Feature,chat,State,lib/features/chat/controllers/chat_screen_controller.dart:4 class ChatScreenState {,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0044,lib/features/chat/data/datasources/chat_local_datasource_isar.dart,Feature,chat,Utility/Infrastructure,lib/features/chat/data/datasources/chat_local_datasource_isar.dart:26 class _CachedEntityRecord {,Isar;Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0045,lib/features/chat/data/entities/conversation_entity.dart,Feature,chat,Storage,lib/features/chat/data/entities/conversation_entity.dart:9 class ConversationEntity {,Isar,No direct test located,Classified,Verified fact: classified from current workspace source
F-0046,lib/features/chat/data/entities/conversation_entity.g.dart,Generated,chat,Storage,lib/features/chat/data/entities/conversation_entity.g.dart:12 extension GetConversationEntityCollection on Isar {,Isar,No direct test located,Generated exclusion,Verified fact: generated output excluded from first-party total
F-0047,lib/features/chat/data/entities/message_entity.dart,Feature,chat,Storage,lib/features/chat/data/entities/message_entity.dart:9 class MessageEntity {,Isar;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0048,lib/features/chat/data/entities/message_entity.g.dart,Generated,chat,Storage,lib/features/chat/data/entities/message_entity.g.dart:12 extension GetMessageEntityCollection on Isar {,Isar;Realtime,No direct test located,Generated exclusion,Verified fact: generated output excluded from first-party total
F-0049,lib/features/chat/domain/chat_message_store_state.dart,Feature,chat,Model/Domain,lib/features/chat/domain/chat_message_store_state.dart:6 class ChatMessageStoreState {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0050,lib/features/chat/domain/chat_message_visual_equality.dart,Feature,chat,Model/Domain,lib/features/chat/domain/chat_message_visual_equality.dart:7 abstract final class ChatMessageVisualEquality {,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0051,lib/features/chat/domain/chat_render_descriptor.dart,Feature,chat,Model/Domain,lib/features/chat/domain/chat_render_descriptor.dart:5 class ChatRenderDescriptor {,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0052,lib/features/chat/domain/message_payload.dart,Feature,chat,Model/Domain,lib/features/chat/domain/message_payload.dart:3 class MessagePayload {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0053,lib/features/chat/models/group_member_item.dart,Feature,chat,Model/Domain,lib/features/chat/models/group_member_item.dart:1 class GroupMemberItem {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0054,lib/features/chat/models/group_user_item.dart,Feature,chat,Model/Domain,lib/features/chat/models/group_user_item.dart:1 class GroupUserItem {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0055,lib/features/chat/models/message_reaction.dart,Feature,chat,Model/Domain,lib/features/chat/models/message_reaction.dart:7 class ReactionType {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0056,lib/features/chat/models/send_message_params.dart,Feature,chat,Model/Domain,lib/features/chat/models/send_message_params.dart:1 class SendMessageParams {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0057,lib/features/chat/navigation/chat_screen_route.dart,Feature,chat,Navigation,lib/features/chat/navigation/chat_screen_route.dart:13 class ChatScreenRoute extends MaterialPageRoute<void> {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0058,lib/features/chat/performance/adaptive_effects_provider.dart,Feature,chat,Utility/Infrastructure,lib/features/chat/performance/adaptive_effects_provider.dart:8 class AdaptiveEffectsController extends StateNotifier<AdaptiveEffectsState> {,N/A,test/adaptive_effects_provider_test.dart,Classified,Verified fact: classified from current workspace source
F-0059,lib/features/chat/performance/chat_message_render_window.dart,Feature,chat,Utility/Infrastructure,lib/features/chat/performance/chat_message_render_window.dart:5 class ChatMessageRenderWindow {,HTTP,No direct test located,Classified,Verified fact: classified from current workspace source
F-0060,lib/features/chat/performance/chat_performance_profile.dart,Feature,chat,Utility/Infrastructure,"lib/features/chat/performance/chat_performance_profile.dart:3 enum ChatPerformanceProfile { low, medium, high }",N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0061,lib/features/chat/performance/chat_scroll_physics.dart,Feature,chat,Utility/Infrastructure,lib/features/chat/performance/chat_scroll_physics.dart:5 class ChatScrollPhysics extends ScrollPhysics {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0062,lib/features/chat/performance/device_capability_service.dart,Feature,chat,Utility/Infrastructure,"lib/features/chat/performance/device_capability_service.dart:5 enum DevicePerformanceTier { low, medium, high }",N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0063,lib/features/chat/performance/frame_budget_service.dart,Feature,chat,Utility/Infrastructure,lib/features/chat/performance/frame_budget_service.dart:10 class FrameBudgetService {,File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0064,lib/features/chat/performance/motion_tokens.dart,Feature,chat,Utility/Infrastructure,"lib/features/chat/performance/motion_tokens.dart:6 enum MotionProfile { performance, balanced, expressive }",N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0065,lib/features/chat/performance/performance_policy_engine.dart,Feature,chat,Utility/Infrastructure,"lib/features/chat/performance/performance_policy_engine.dart:3 enum OptimizationSurface { chat, feed, story }",N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0066,lib/features/chat/providers/chat_action_controller.dart,Feature,chat,State,lib/features/chat/providers/chat_action_controller.dart:15 class ChatActionState {,Isar;SharedPreferences,No direct test located,Classified,Verified fact: classified from current workspace source
F-0067,lib/features/chat/providers/chat_action_controller.g.dart,Generated,chat,State,lib/features/chat/providers/chat_action_controller.g.dart:14 final chatActionControllerProvider =,N/A,No direct test located,Generated exclusion,Verified fact: generated output excluded from first-party total
F-0068,lib/features/chat/providers/chat_connection_status_provider.dart,Feature,chat,State,lib/features/chat/providers/chat_connection_status_provider.dart:14 enum ConnectionStatus {,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0069,lib/features/chat/providers/chat_connection_status_provider.g.dart,Generated,chat,State,lib/features/chat/providers/chat_connection_status_provider.g.dart:14 final chatConnectionStatusProvider =,N/A,No direct test located,Generated exclusion,Verified fact: generated output excluded from first-party total
F-0070,lib/features/chat/providers/chat_message_store_provider.dart,Feature,chat,State,lib/features/chat/providers/chat_message_store_provider.dart:14 class ChatMessageStore extends _$ChatMessageStore {,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0071,lib/features/chat/providers/chat_message_store_provider.g.dart,Generated,chat,State,lib/features/chat/providers/chat_message_store_provider.g.dart:12 class _SystemHash {,N/A,No direct test located,Generated exclusion,Verified fact: generated output excluded from first-party total
F-0072,lib/features/chat/providers/chat_messages_provider.dart,Feature,chat,State,lib/features/chat/providers/chat_messages_provider.dart:20 class ChatMessages extends _$ChatMessages {,Isar;SharedPreferences;SecureStorage;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0073,lib/features/chat/providers/chat_messages_provider.g.dart,Generated,chat,State,lib/features/chat/providers/chat_messages_provider.g.dart:12 class _SystemHash {,N/A,No direct test located,Generated exclusion,Verified fact: generated output excluded from first-party total
F-0074,lib/features/chat/providers/chat_notes_provider.dart,Feature,chat,State,lib/features/chat/providers/chat_notes_provider.dart:7 final _chatUserIdsProvider = Provider<List<String>>((ref) {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0075,lib/features/chat/providers/chat_providers.dart,Feature,chat,State,lib/features/chat/providers/chat_providers.dart:38 class PaginationState {,Isar,No direct test located,Classified,Verified fact: classified from current workspace source
F-0076,lib/features/chat/providers/chat_providers.g.dart,Generated,chat,State,lib/features/chat/providers/chat_providers.g.dart:13 final chatRepositoryProvider = AutoDisposeProvider<ChatRepository>.internal(,N/A,No direct test located,Generated exclusion,Verified fact: generated output excluded from first-party total
F-0077,lib/features/chat/providers/legacy_chat_providers.dart,Feature,chat,State,lib/features/chat/providers/legacy_chat_providers.dart:12 final conversationsProvider =,HTTP;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0078,lib/features/chat/repositories/chat_repository.dart,Feature,chat,Repository,lib/features/chat/repositories/chat_repository.dart:14 class ChatResult<T> {,Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0079,lib/features/chat/repositories/chat_repository_impl.dart,Feature,chat,Repository,lib/features/chat/repositories/chat_repository_impl.dart:28 class E2EEEncryptionException implements Exception {,Isar;SharedPreferences;SecureStorage;HTTP;Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0080,lib/features/chat/screens/ArchivedConversationsScreen.dart,Feature,chat,UI Screen,lib/features/chat/screens/ArchivedConversationsScreen.dart:14 class ArchivedConversationsScreen extends ConsumerWidget {,Isar;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0081,lib/features/chat/screens/ChatConversationsScreen.dart,Feature,chat,UI Screen,lib/features/chat/screens/ChatConversationsScreen.dart:37 class ChatConversationsScreen extends ConsumerStatefulWidget {,Isar;Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0082,lib/features/chat/screens/ChatMessageSearchScreen.dart,Feature,chat,UI Screen,lib/features/chat/screens/ChatMessageSearchScreen.dart:10 final searchMessagesProvider = FutureProvider.autoDispose,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0083,lib/features/chat/screens/ChatPartnerInfoScreen.dart,Feature,chat,UI Screen,lib/features/chat/screens/ChatPartnerInfoScreen.dart:11 class ChatPartnerInfoScreen extends ConsumerStatefulWidget {,Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0084,lib/features/chat/screens/document_preview_screen.dart,Feature,chat,UI Screen,lib/features/chat/screens/document_preview_screen.dart:26 class DocumentPreviewScreen extends StatefulWidget {,HTTP;Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0085,lib/features/chat/screens/group_create_screen.dart,Feature,chat,UI Screen,lib/features/chat/screens/group_create_screen.dart:16 class GroupCreateScreen extends ConsumerStatefulWidget {,HTTP;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0086,lib/features/chat/screens/group_details_screen.dart,Feature,chat,UI Screen,lib/features/chat/screens/group_details_screen.dart:13 class GroupDetailsScreen extends ConsumerStatefulWidget {,SecureStorage;HTTP;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0087,lib/features/chat/screens/group_edit_screen.dart,Feature,chat,UI Screen,lib/features/chat/screens/group_edit_screen.dart:10 class GroupEditScreen extends ConsumerStatefulWidget {,SecureStorage;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0088,lib/features/chat/screens/message_info_screen.dart,Feature,chat,UI Screen,lib/features/chat/screens/message_info_screen.dart:25 class MessageInfoScreen extends StatelessWidget {,HTTP;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0089,lib/features/chat/screens/modern_chat_screen.dart,Feature,chat,UI Screen,lib/features/chat/screens/modern_chat_screen.dart:133 class ChatScreenArgs {,SharedPreferences;HTTP;Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0090,lib/features/chat/screens/modern_chat_screen_app_bar.dart,Feature,chat,UI Screen,lib/features/chat/screens/modern_chat_screen_app_bar.dart:4 extension _ModernChatAppBarExt on _ModernChatScreenState {,Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0091,lib/features/chat/screens/modern_chat_screen_bubbles.dart,Feature,chat,UI Screen,lib/features/chat/screens/modern_chat_screen_bubbles.dart:4 extension _ModernChatBubblesExt on _ModernChatScreenState {,HTTP;Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0092,lib/features/chat/screens/modern_chat_screen_input.dart,Feature,chat,UI Screen,lib/features/chat/screens/modern_chat_screen_input.dart:4 extension _ModernChatInputExt on _ModernChatScreenState {,SharedPreferences;HTTP;Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0093,lib/features/chat/screens/modern_chat_screen_list.dart,Feature,chat,UI Screen,lib/features/chat/screens/modern_chat_screen_list.dart:4 extension _ModernChatListExt on _ModernChatScreenState {,Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0094,lib/features/chat/screens/modern_group_profile_screen.dart,Feature,chat,UI Screen,lib/features/chat/screens/modern_group_profile_screen.dart:23 class ModernGroupProfileScreen extends ConsumerStatefulWidget {,SecureStorage;HTTP;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0095,lib/features/chat/screens/modern_profile_actions.dart,Feature,chat,UI Screen,lib/features/chat/screens/modern_profile_actions.dart:3 extension ModernProfileActionsExt on _VistaChatProfileScreenState {,File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0096,lib/features/chat/screens/modern_profile_header.dart,Feature,chat,UI Screen,lib/features/chat/screens/modern_profile_header.dart:3 extension ModernProfileHeaderExt on _VistaChatProfileScreenState {,Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0097,lib/features/chat/screens/modern_profile_screen.dart,Feature,chat,UI Screen,"lib/features/chat/screens/modern_profile_screen.dart:54 enum _SharedPostKind { text, image, video, music }",HTTP;Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0098,lib/features/chat/screens/modern_profile_tabs.dart,Feature,chat,UI Screen,lib/features/chat/screens/modern_profile_tabs.dart:3 extension ModernProfileTabsExt on _VistaChatProfileScreenState {,Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0099,lib/features/chat/screens/new_message_screen.dart,Feature,chat,UI Screen,lib/features/chat/screens/new_message_screen.dart:18 class NewMessageScreen extends ConsumerStatefulWidget {,Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0100,lib/features/chat/services/attachment_type_resolver.dart,Feature,chat,Service,lib/features/chat/services/attachment_type_resolver.dart:7 class AttachmentTypeResolver {,HTTP,No direct test located,Classified,Verified fact: classified from current workspace source
F-0101,lib/features/chat/services/audio_metadata_service.dart,Feature,chat,Service,lib/features/chat/services/audio_metadata_service.dart:6 class AudioMetadataSnapshot {,HTTP,No direct test located,Classified,Verified fact: classified from current workspace source
F-0102,lib/features/chat/services/chat_attachment_service.dart,Feature,chat,Service,lib/features/chat/services/chat_attachment_service.dart:18 enum AttachmentType {,HTTP;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0103,lib/features/chat/services/chat_message_diff.dart,Feature,chat,Service,lib/features/chat/services/chat_message_diff.dart:5 abstract final class ChatMessageDiff {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0104,lib/features/chat/services/chat_render_item_builder.dart,Feature,chat,Service,lib/features/chat/services/chat_render_item_builder.dart:4 abstract final class ChatRenderItemBuilder {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0105,lib/features/chat/services/chat_transfer_manager.dart,Feature,chat,Service,lib/features/chat/services/chat_transfer_manager.dart:13 enum TransferTaskStatus {,HTTP;Realtime;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0106,lib/features/chat/services/e2e_encryption_service.dart,Feature,chat,Service,lib/features/chat/services/e2e_encryption_service.dart:34 class E2EEncryptionService {,SharedPreferences;SecureStorage,test/e2e_encryption_service_test.dart,Classified,Verified fact: classified from current workspace source
F-0107,lib/features/chat/services/group_e2e_service.dart,Feature,chat,Service,lib/features/chat/services/group_e2e_service.dart:20 class GroupE2EService {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0108,lib/features/chat/services/group_service.dart,Feature,chat,Service,lib/features/chat/services/group_service.dart:14 class GroupService {,SecureStorage;HTTP;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0109,lib/features/chat/services/local_content_cipher.dart,Feature,chat,Service,lib/features/chat/services/local_content_cipher.dart:37 class LocalContentCipher {,Isar;SecureStorage,No direct test located,Classified,Verified fact: classified from current workspace source
F-0110,lib/features/chat/services/message_actions_service.dart,Feature,chat,Service,lib/features/chat/services/message_actions_service.dart:15 class ActionResult<T> {,SecureStorage;HTTP;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0111,lib/features/chat/services/message_forward_service.dart,Feature,chat,Service,lib/features/chat/services/message_forward_service.dart:7 class MessageForwardResult {,SecureStorage;HTTP,No direct test located,Classified,Verified fact: classified from current workspace source
F-0112,lib/features/chat/services/message_reactions_service.dart,Feature,chat,Service,lib/features/chat/services/message_reactions_service.dart:12 class MessageReactionsService {,SecureStorage;HTTP;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0113,lib/features/chat/services/message_search_service.dart,Feature,chat,Service,lib/features/chat/services/message_search_service.dart:11 class SearchResult {,SecureStorage;HTTP;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0114,lib/features/chat/services/message_tombstone_service.dart,Feature,chat,Service,lib/features/chat/services/message_tombstone_service.dart:14 class MessageTombstoneService {,Isar;SecureStorage;HTTP,No direct test located,Classified,Verified fact: classified from current workspace source
F-0115,lib/features/chat/services/secret_chat_privacy_service.dart,Feature,chat,Service,lib/features/chat/services/secret_chat_privacy_service.dart:10 class SecretChatPrivacyService {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
F-0116,lib/features/chat/services/sse_manager.dart,Feature,chat,Service,"lib/features/chat/services/sse_manager.dart:21 enum SseConnectionState { disconnected, connecting, connected }",SecureStorage;Realtime,No direct test located,Classified,Verified fact: classified from current workspace source
F-0117,lib/features/chat/services/upload_policy_service.dart,Feature,chat,Service,"lib/features/chat/services/upload_policy_service.dart:7 enum ChatSendMode { gallery, camera, file }",HTTP;File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0118,lib/features/chat/services/user_moderation_service.dart,Feature,chat,Service,lib/features/chat/services/user_moderation_service.dart:8 enum ModerationReason {,SecureStorage;HTTP,No direct test located,Classified,Verified fact: classified from current workspace source
F-0119,lib/features/chat/services/voice_duration_service.dart,Feature,chat,Service,lib/features/chat/services/voice_duration_service.dart:18 class DurationResult {,HTTP,No direct test located,Classified,Verified fact: classified from current workspace source
F-0120,lib/features/chat/services/voice_recorder_service.dart,Feature,chat,Service,lib/features/chat/services/voice_recorder_service.dart:19 class VoiceRecorderService {,File/Media,No direct test located,Classified,Verified fact: classified from current workspace source
F-0121,lib/features/chat/theme/chat_theme.dart,Feature,chat,Design System,lib/features/chat/theme/chat_theme.dart:16 class ChatTheme {,N/A,No direct test located,Classified,Verified fact: classified from current workspace source
