Record Type,Record ID,Feature,Journey,Source Path,Source Line,Layer,Contract or Storage,Visible State,Native Status,Native Target,Owner,Phase,Acceptance,Next Action,Evidence,Notes
Journey,JRN-011,Chat,ChatMessageSearchScreen,lib/features/chat/screens/ChatMessageSearchScreen.dart,29,User journey,/v1/chat/*; /v1/chat/ws; Isar Message/Conversation; E2EE,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation,Missing — transferred,feature/shell/src/main/java/ir/coffevista/vista_native/features/shell/VistaShell.kt:225 — placeholder,CHAT-01 / CHAT-02,CHAT-01 / CHAT-02,ChatMessageSearchScreen preserves the mapped Flutter flow and visible states.,Validate ChatMessageSearchScreen in its assigned implementation/runtime phase.,lib/features/chat/screens/ChatMessageSearchScreen.dart:29,State=lib/features/chat/providers/chat_messages_provider.dart:1; Repository/Service=lib/features/chat/repositories/chat_repository_impl.dart:35; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-011
Journey,JRN-012,Chat,ChatPartnerInfoScreen,lib/features/chat/screens/ChatPartnerInfoScreen.dart,11,User journey,/v1/chat/*; /v1/chat/ws; Isar Message/Conversation; E2EE,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Private/Blocked,Missing — transferred,feature/shell/src/main/java/ir/coffevista/vista_native/features/shell/VistaShell.kt:225 — placeholder,CHAT-01 / CHAT-02,CHAT-01 / CHAT-02,ChatPartnerInfoScreen preserves the mapped Flutter flow and visible states.,Validate ChatPartnerInfoScreen in its assigned implementation/runtime phase.,lib/features/chat/screens/ChatPartnerInfoScreen.dart:11,State=lib/features/chat/providers/chat_messages_provider.dart:1; Repository/Service=lib/features/chat/repositories/chat_repository_impl.dart:35; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-012
Journey,JRN-013,Chat,DocumentPreviewScreen,lib/features/chat/screens/document_preview_screen.dart,26,User journey,/v1/chat/*; /v1/chat/ws; Isar Message/Conversation; E2EE,Default;Loading/Disabled;Error/Retry,Missing — transferred,feature/shell/src/main/java/ir/coffevista/vista_native/features/shell/VistaShell.kt:225 — placeholder,CHAT-01 / CHAT-02,CHAT-01 / CHAT-02,DocumentPreviewScreen preserves the mapped Flutter flow and visible states.,Validate DocumentPreviewScreen in its assigned implementation/runtime phase.,lib/features/chat/screens/document_preview_screen.dart:26,State=lib/features/chat/providers/chat_messages_provider.dart:1; Repository/Service=lib/features/chat/repositories/chat_repository_impl.dart:35; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-013
Journey,JRN-014,Chat,GroupCreateScreen,lib/features/chat/screens/group_create_screen.dart,16,User journey,/v1/chat/*; /v1/chat/ws; Isar Message/Conversation; E2EE,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation,Missing — transferred,feature/shell/src/main/java/ir/coffevista/vista_native/features/shell/VistaShell.kt:225 — placeholder,CHAT-01 / CHAT-02,CHAT-01 / CHAT-02,GroupCreateScreen preserves the mapped Flutter flow and visible states.,Validate GroupCreateScreen in its assigned implementation/runtime phase.,lib/features/chat/screens/group_create_screen.dart:16,State=lib/features/chat/providers/chat_messages_provider.dart:1; Repository/Service=lib/features/chat/repositories/chat_repository_impl.dart:35; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-014
Journey,JRN-015,Chat,GroupDetailsScreen,lib/features/chat/screens/group_details_screen.dart,13,User journey,/v1/chat/*; /v1/chat/ws; Isar Message/Conversation; E2EE,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation,Missing — transferred,feature/shell/src/main/java/ir/coffevista/vista_native/features/shell/VistaShell.kt:225 — placeholder,CHAT-01 / CHAT-02,CHAT-01 / CHAT-02,GroupDetailsScreen preserves the mapped Flutter flow and visible states.,Validate GroupDetailsScreen in its assigned implementation/runtime phase.,lib/features/chat/screens/group_details_screen.dart:13,State=lib/features/chat/providers/chat_messages_provider.dart:1; Repository/Service=lib/features/chat/repositories/chat_repository_impl.dart:35; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-015
Journey,JRN-016,Chat,GroupEditScreen,lib/features/chat/screens/group_edit_screen.dart,10,User journey,/v1/chat/*; /v1/chat/ws; Isar Message/Conversation; E2EE,Default;Loading/Disabled;Empty/NotFound;Keyboard/Focus/Validation,Missing — transferred,feature/shell/src/main/java/ir/coffevista/vista_native/features/shell/VistaShell.kt:225 — placeholder,CHAT-01 / CHAT-02,CHAT-01 / CHAT-02,GroupEditScreen preserves the mapped Flutter flow and visible states.,Validate GroupEditScreen in its assigned implementation/runtime phase.,lib/features/chat/screens/group_edit_screen.dart:10,State=lib/features/chat/providers/chat_messages_provider.dart:1; Repository/Service=lib/features/chat/repositories/chat_repository_impl.dart:35; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-016
Journey,JRN-017,Chat,MessageInfoScreen,lib/features/chat/screens/message_info_screen.dart,25,User journey,/v1/chat/*; /v1/chat/ws; Isar Message/Conversation; E2EE,Default;Empty/NotFound,Missing — transferred,feature/shell/src/main/java/ir/coffevista/vista_native/features/shell/VistaShell.kt:225 — placeholder,CHAT-01 / CHAT-02,CHAT-01 / CHAT-02,MessageInfoScreen preserves the mapped Flutter flow and visible states.,Validate MessageInfoScreen in its assigned implementation/runtime phase.,lib/features/chat/screens/message_info_screen.dart:25,State=lib/features/chat/providers/chat_messages_provider.dart:1; Repository/Service=lib/features/chat/repositories/chat_repository_impl.dart:35; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-017
Journey,JRN-018,Chat,ModernChatScreen,lib/features/chat/screens/modern_chat_screen.dart,180,User journey,/v1/chat/*; /v1/chat/ws; Isar Message/Conversation; E2EE,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation;Private/Blocked,Missing — transferred,feature/shell/src/main/java/ir/coffevista/vista_native/features/shell/VistaShell.kt:225 — placeholder,CHAT-01 / CHAT-02,CHAT-01 / CHAT-02,ModernChatScreen preserves the mapped Flutter flow and visible states.,Validate ModernChatScreen in its assigned implementation/runtime phase.,lib/features/chat/screens/modern_chat_screen.dart:180,State=lib/features/chat/providers/chat_messages_provider.dart:1; Repository/Service=lib/features/chat/repositories/chat_repository_impl.dart:35; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-018
Journey,JRN-019,Chat,ModernGroupProfileScreen,lib/features/chat/screens/modern_group_profile_screen.dart,23,User journey,/v1/chat/*; /v1/chat/ws; Isar Message/Conversation; E2EE,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation,Missing — transferred,feature/shell/src/main/java/ir/coffevista/vista_native/features/shell/VistaShell.kt:225 — placeholder,CHAT-01 / CHAT-02,CHAT-01 / CHAT-02,ModernGroupProfileScreen preserves the mapped Flutter flow and visible states.,Validate ModernGroupProfileScreen in its assigned implementation/runtime phase.,lib/features/chat/screens/modern_group_profile_screen.dart:23,State=lib/features/chat/providers/chat_messages_provider.dart:1; Repository/Service=lib/features/chat/repositories/chat_repository_impl.dart:35; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-019
Journey,JRN-020,Chat,VistaChatProfileScreen,lib/features/chat/screens/modern_profile_screen.dart,79,User journey,/v1/chat/*; /v1/chat/ws; Isar Message/Conversation; E2EE,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Private/Blocked,Missing — transferred,feature/shell/src/main/java/ir/coffevista/vista_native/features/shell/VistaShell.kt:225 — placeholder,CHAT-01 / CHAT-02,CHAT-01 / CHAT-02,VistaChatProfileScreen preserves the mapped Flutter flow and visible states.,Validate VistaChatProfileScreen in its assigned implementation/runtime phase.,lib/features/chat/screens/modern_profile_screen.dart:79,State=lib/features/chat/providers/chat_messages_provider.dart:1; Repository/Service=lib/features/chat/repositories/chat_repository_impl.dart:35; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-020
Journey,JRN-021,Chat,NewMessageScreen,lib/features/chat/screens/new_message_screen.dart,18,User journey,/v1/chat/*; /v1/chat/ws; Isar Message/Conversation; E2EE,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation,Missing — transferred,feature/shell/src/main/java/ir/coffevista/vista_native/features/shell/VistaShell.kt:225 — placeholder,CHAT-01 / CHAT-02,CHAT-01 / CHAT-02,NewMessageScreen preserves the mapped Flutter flow and visible states.,Validate NewMessageScreen in its assigned implementation/runtime phase.,lib/features/chat/screens/new_message_screen.dart:18,State=lib/features/chat/providers/chat_messages_provider.dart:1; Repository/Service=lib/features/chat/repositories/chat_repository_impl.dart:35; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-021
Journey,JRN-022,Chat,FullScreenImageViewer,lib/features/chat/widgets/full_screen_image_viewer.dart,26,User journey,/v1/chat/*; /v1/chat/ws; Isar Message/Conversation; E2EE,Default;Loading/Disabled;Error/Retry,Missing — transferred,app/src/main/java/ir/coffevista/vista_native/navigation/AppRoute.kt:24 — no canonical shared viewer,CHAT-01 / CHAT-02,CHAT-01 / CHAT-02,FullScreenImageViewer preserves the mapped Flutter flow and visible states.,Validate FullScreenImageViewer in its assigned implementation/runtime phase.,lib/features/chat/widgets/full_screen_image_viewer.dart:26,State=lib/features/chat/providers/chat_messages_provider.dart:1; Repository/Service=lib/features/chat/repositories/chat_repository_impl.dart:35; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-022
Journey,JRN-023,Home,HomeScreen,lib/features/home/screens/homeScreen.dart,54,User journey,IndexedStack tab state; unread providers,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation,Partial — integration gate open,feature/shell/src/main/java/ir/coffevista/vista_native/features/shell/VistaShell.kt:84,INT-01-CLOSE,INT-01-CLOSE,HomeScreen preserves the mapped Flutter flow and visible states.,Validate HomeScreen in its assigned implementation/runtime phase.,lib/features/home/screens/homeScreen.dart:54,State=lib/features/home/screens/homeScreen.dart:58; Repository/Service=N/A — UI/local utility; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-023
Journey,JRN-024,Nearby,NearbyLikesScreen,lib/features/nearby/screens/nearby_likes_screen.dart,14,User journey,/v1/nearby/*; coarse-location permission,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Private/Blocked,Missing — transferred,app/src/main/java/ir/coffevista/vista_native/navigation/AppRoute.kt:24 — controlled DeferredFeature only,DISC-01B,DISC-01B,NearbyLikesScreen preserves the mapped Flutter flow and visible states.,Validate NearbyLikesScreen in its assigned implementation/runtime phase.,lib/features/nearby/screens/nearby_likes_screen.dart:14,State=lib/features/nearby/providers/nearby_provider.dart:7; Repository/Service=lib/features/nearby/data/nearby_repository.dart:18; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-024
Journey,JRN-025,Nearby,NearbyMatchesScreen,lib/features/nearby/screens/nearby_matches_screen.dart,11,User journey,/v1/nearby/*; coarse-location permission,Default;Loading/Disabled;Error/Retry;Empty/NotFound,Missing — transferred,app/src/main/java/ir/coffevista/vista_native/navigation/AppRoute.kt:24 — controlled DeferredFeature only,DISC-01B,DISC-01B,NearbyMatchesScreen preserves the mapped Flutter flow and visible states.,Validate NearbyMatchesScreen in its assigned implementation/runtime phase.,lib/features/nearby/screens/nearby_matches_screen.dart:11,State=lib/features/nearby/providers/nearby_provider.dart:7; Repository/Service=lib/features/nearby/data/nearby_repository.dart:18; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-025
Journey,JRN-026,Nearby,NearbyScreen,lib/features/nearby/screens/nearby_screen.dart,17,User journey,/v1/nearby/*; coarse-location permission,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Permission denied;Private/Blocked,Missing — transferred,app/src/main/java/ir/coffevista/vista_native/navigation/AppRoute.kt:24 — controlled DeferredFeature only,DISC-01B,DISC-01B,NearbyScreen preserves the mapped Flutter flow and visible states.,Validate NearbyScreen in its assigned implementation/runtime phase.,lib/features/nearby/screens/nearby_screen.dart:17,State=lib/features/nearby/providers/nearby_provider.dart:7; Repository/Service=lib/features/nearby/data/nearby_repository.dart:18; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-026
Journey,JRN-027,Onboarding,Onboarding,lib/features/onboarding/screens/Onboarding.dart,7,User journey,SharedPreferences onboarding_completed/onboarding_version,Default,Partial — reference stabilization required,feature/auth/src/main/java/ir/coffevista/vista_native/features/onboarding/OnboardingScreen.kt:57,AUTH-02,AUTH-02,Onboarding preserves the mapped Flutter flow and visible states.,Validate Onboarding in its assigned implementation/runtime phase.,lib/features/onboarding/screens/Onboarding.dart:7,State=lib/services/onboarding_service.dart:4; Repository/Service=lib/services/onboarding_service.dart:4; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-027
Journey,JRN-028,Onboarding,Onboarding,lib/features/onboarding/screens/onboarding_screen.dart,10,User journey,SharedPreferences onboarding_completed/onboarding_version,Default;Loading/Disabled;Error/Retry;Private/Blocked,Partial — reference stabilization required,feature/auth/src/main/java/ir/coffevista/vista_native/features/onboarding/OnboardingScreen.kt:57,AUTH-02,AUTH-02,Onboarding preserves the mapped Flutter flow and visible states.,Validate Onboarding in its assigned implementation/runtime phase.,lib/features/onboarding/screens/onboarding_screen.dart:10,State=lib/services/onboarding_service.dart:4; Repository/Service=lib/services/onboarding_service.dart:4; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-028
Journey,JRN-029,Posts,AddPublicPostScreen,lib/features/posts/screens/AddPost.dart,29,User journey,/v1/feed|explore|posts|comments; Isar Post; media cache,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation,Missing — transferred,app/src/main/java/ir/coffevista/vista_native/navigation/AppRoute.kt:24 — controlled DeferredFeature only,SLICE-01D / MEDIA-01,SLICE-01D / MEDIA-01,AddPublicPostScreen preserves the mapped Flutter flow and visible states.,Validate AddPublicPostScreen in its assigned implementation/runtime phase.,lib/features/posts/screens/AddPost.dart:29,State=lib/provider/personalized_feed_provider.dart:163; Repository/Service=lib/features/posts/data/go_posts_repository.dart:56; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-029
Journey,JRN-030,Posts,AppealScreen,lib/features/posts/screens/appeal_screen.dart,12,User journey,/v1/feed|explore|posts|comments; Isar Post; media cache,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation,Missing — transferred,app/src/main/java/ir/coffevista/vista_native/navigation/AppRoute.kt:24 — controlled DeferredFeature only,SLICE-01D / MEDIA-01,SLICE-01D / MEDIA-01,AppealScreen preserves the mapped Flutter flow and visible states.,Validate AppealScreen in its assigned implementation/runtime phase.,lib/features/posts/screens/appeal_screen.dart:12,State=lib/provider/personalized_feed_provider.dart:163; Repository/Service=lib/features/posts/data/go_posts_repository.dart:56; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-030
Journey,JRN-031,Posts,ExploreFeedScreen,lib/features/posts/screens/ExploreFeedScreen.dart,69,User journey,/v1/feed|explore|posts|comments; Isar Post; media cache,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Offline/Degraded,Partial — dirty WIP/evidence open,feature/feed/src/main/java/ir/coffevista/vista_native/features/feed/ui/FeedScreen.kt:81,SLICE-01D / MEDIA-01,SLICE-01D / MEDIA-01,ExploreFeedScreen preserves the mapped Flutter flow and visible states.,Validate ExploreFeedScreen in its assigned implementation/runtime phase.,lib/features/posts/screens/ExploreFeedScreen.dart:69,State=lib/provider/personalized_feed_provider.dart:163; Repository/Service=lib/features/posts/data/go_posts_repository.dart:56; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-031
Journey,JRN-032,Posts,FollowersScreen,lib/features/posts/screens/followers_and_followings/FollowersScreen.dart,8,User journey,/v1/feed|explore|posts|comments; Isar Post; media cache,Default;Loading/Disabled;Error/Retry;Empty/NotFound,Missing — transferred,app/src/main/java/ir/coffevista/vista_native/navigation/AppRoute.kt:24 — controlled DeferredFeature only,SLICE-01D / MEDIA-01,SLICE-01D / MEDIA-01,FollowersScreen preserves the mapped Flutter flow and visible states.,Validate FollowersScreen in its assigned implementation/runtime phase.,lib/features/posts/screens/followers_and_followings/FollowersScreen.dart:8,State=lib/provider/personalized_feed_provider.dart:163; Repository/Service=lib/features/posts/data/go_posts_repository.dart:56; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-032
Journey,JRN-033,Posts,FollowingScreen,lib/features/posts/screens/followers_and_followings/FollowingScreen.dart,8,User journey,/v1/feed|explore|posts|comments; Isar Post; media cache,Default;Loading/Disabled;Error/Retry;Empty/NotFound,Missing — transferred,app/src/main/java/ir/coffevista/vista_native/navigation/AppRoute.kt:24 — controlled DeferredFeature only,SLICE-01D / MEDIA-01,SLICE-01D / MEDIA-01,FollowingScreen preserves the mapped Flutter flow and visible states.,Validate FollowingScreen in its assigned implementation/runtime phase.,lib/features/posts/screens/followers_and_followings/FollowingScreen.dart:8,State=lib/provider/personalized_feed_provider.dart:163; Repository/Service=lib/features/posts/data/go_posts_repository.dart:56; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-033
Journey,JRN-034,Posts,HashtagPostsScreen,lib/features/posts/screens/hashtag_posts_screen.dart,24,User journey,/v1/feed|explore|posts|comments; Isar Post; media cache,Default;Loading/Disabled;Error/Retry;Empty/NotFound,Missing — transferred,app/src/main/java/ir/coffevista/vista_native/navigation/AppRoute.kt:24 — controlled DeferredFeature only,SLICE-01D / MEDIA-01,SLICE-01D / MEDIA-01,HashtagPostsScreen preserves the mapped Flutter flow and visible states.,Validate HashtagPostsScreen in its assigned implementation/runtime phase.,lib/features/posts/screens/hashtag_posts_screen.dart:24,State=lib/provider/personalized_feed_provider.dart:163; Repository/Service=lib/features/posts/data/go_posts_repository.dart:56; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-034
Journey,JRN-035,Posts,NotificationsPage,lib/features/posts/screens/notificationScreen.dart,13,User journey,/v1/feed|explore|posts|comments; Isar Post; media cache,Default;Loading/Disabled;Empty/NotFound,Missing — transferred,app/src/main/java/ir/coffevista/vista_native/navigation/DeepLinkCoordinator.kt:64 — generic pending destination only,SLICE-01D / MEDIA-01,SLICE-01D / MEDIA-01,NotificationsPage preserves the mapped Flutter flow and visible states.,Validate NotificationsPage in its assigned implementation/runtime phase.,lib/features/posts/screens/notificationScreen.dart:13,State=lib/provider/personalized_feed_provider.dart:163; Repository/Service=lib/features/posts/data/go_posts_repository.dart:56; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-035
Journey,JRN-036,Posts,PostDetailsPage,lib/features/posts/screens/PostDetailPage.dart,31,User journey,/v1/feed|explore|posts|comments; Isar Post; media cache,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Keyboard/Focus/Validation,Partial — dirty WIP/evidence open,feature/feed/src/main/java/ir/coffevista/vista_native/features/feed/ui/PostDetailScreen.kt:40,SLICE-01D / MEDIA-01,SLICE-01D / MEDIA-01,PostDetailsPage preserves the mapped Flutter flow and visible states.,Validate PostDetailsPage in its assigned implementation/runtime phase.,lib/features/posts/screens/PostDetailPage.dart:31,State=lib/provider/personalized_feed_provider.dart:163; Repository/Service=lib/features/posts/data/go_posts_repository.dart:56; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-036
Journey,JRN-037,Posts,ProfileScreen,lib/features/posts/screens/profileScreen.dart,65,User journey,/v1/feed|explore|posts|comments; Isar Post; media cache,Default;Loading/Disabled;Error/Retry;Empty/NotFound;Private/Blocked,Partial — parity gates open,feature/profile/src/main/java/ir/coffevista/vista_native/features/profile/ui/OwnProfileScreen.kt:44,SLICE-01D / MEDIA-01,SLICE-01D / MEDIA-01,ProfileScreen preserves the mapped Flutter flow and visible states.,Validate ProfileScreen in its assigned implementation/runtime phase.,lib/features/posts/screens/profileScreen.dart:65,State=lib/provider/personalized_feed_provider.dart:163; Repository/Service=lib/features/posts/data/go_posts_repository.dart:56; Tests=See coverage ledger Tests column; current-pass not implied; Native trace=NG-037
